day_time,temperature,probability to rain,weather description,cid
2023-05-06 13:00:00,19.12,0.0,broken clouds,16
2023-05-07 13:00:00,16.69,0.88,light rain,16
2023-05-08 13:00:00,19.35,0.07,broken clouds,16
2023-05-09 13:00:00,13.06,1.0,light rain,16
2023-05-10 13:00:00,16.54,1.0,light rain,16
2023-05-11 13:00:00,14.73,0.99,light rain,16
2023-05-12 13:00:00,13.63,0.32,light rain,16
2023-05-06 13:00:00,20.49,0.17,scattered clouds,17
2023-05-07 13:00:00,21.0,0.99,moderate rain,17
2023-05-08 13:00:00,20.26,1.0,light rain,17
2023-05-09 13:00:00,15.26,1.0,moderate rain,17
2023-05-10 13:00:00,15.38,1.0,moderate rain,17
2023-05-11 13:00:00,12.41,1.0,moderate rain,17
2023-05-12 13:00:00,13.6,0.99,moderate rain,17
2023-05-06 13:00:00,21.59,0.11,broken clouds,18
2023-05-07 13:00:00,19.81,0.34,overcast clouds,18
2023-05-08 13:00:00,17.78,0.32,light rain,18
2023-05-09 13:00:00,17.42,0.74,moderate rain,18
2023-05-10 13:00:00,15.52,0.62,light rain,18
2023-05-11 13:00:00,10.64,0.71,moderate rain,18
2023-05-12 13:00:00,12.11,0.73,light rain,18
2023-05-06 13:00:00,24.85,0.84,moderate rain,19
2023-05-07 13:00:00,20.17,1.0,moderate rain,19
2023-05-08 13:00:00,16.34,0.6,light rain,19
2023-05-09 13:00:00,20.65,1.0,moderate rain,19
2023-05-10 13:00:00,13.7,1.0,moderate rain,19
2023-05-11 13:00:00,11.67,0.7,light rain,19
2023-05-12 13:00:00,12.49,0.62,light rain,19
2023-05-06 14:00:00,18.97,1.0,light rain,20
2023-05-07 14:00:00,16.94,0.54,light rain,20
2023-05-08 14:00:00,16.84,0.0,overcast clouds,20
2023-05-09 14:00:00,15.81,1.0,moderate rain,20
2023-05-10 14:00:00,16.44,0.4,light rain,20
2023-05-11 14:00:00,14.87,0.39,light rain,20
2023-05-12 14:00:00,17.03,0.33,light rain,20
2023-05-06 13:00:00,12.58,1.0,moderate rain,21
2023-05-07 13:00:00,13.33,0.26,light rain,21
2023-05-08 13:00:00,14.33,1.0,moderate rain,21
2023-05-09 13:00:00,14.05,1.0,moderate rain,21
2023-05-10 13:00:00,13.1,0.61,light rain,21
2023-05-11 13:00:00,12.28,0.36,light rain,21
2023-05-12 13:00:00,13.66,0.0,clear sky,21
2023-05-06 13:00:00,14.58,0.75,light rain,22
2023-05-07 13:00:00,17.84,0.41,light rain,22
2023-05-08 13:00:00,18.51,1.0,light rain,22
2023-05-09 13:00:00,16.14,1.0,moderate rain,22
2023-05-10 13:00:00,16.24,0.52,light rain,22
2023-05-11 13:00:00,15.95,0.44,light rain,22
2023-05-12 13:00:00,16.84,0.0,clear sky,22
2023-05-06 13:00:00,20.83,0.66,light rain,23
2023-05-07 13:00:00,20.27,1.0,light rain,23
2023-05-08 13:00:00,20.55,0.72,light rain,23
2023-05-09 13:00:00,17.33,1.0,moderate rain,23
2023-05-10 13:00:00,17.99,1.0,moderate rain,23
2023-05-11 13:00:00,14.55,1.0,light rain,23
2023-05-12 13:00:00,11.46,0.86,light rain,23
2023-05-06 13:00:00,20.22,0.0,few clouds,24
2023-05-07 13:00:00,20.27,0.0,overcast clouds,24
2023-05-08 13:00:00,21.96,0.0,scattered clouds,24
2023-05-09 13:00:00,20.49,0.25,light rain,24
2023-05-10 13:00:00,21.22,0.15,few clouds,24
2023-05-11 13:00:00,19.89,0.21,scattered clouds,24
2023-05-12 13:00:00,16.21,0.55,moderate rain,24
2023-05-06 14:00:00,16.48,1.0,moderate rain,25
2023-05-07 14:00:00,15.92,0.31,broken clouds,25
2023-05-08 14:00:00,15.57,0.96,moderate rain,25
2023-05-09 14:00:00,15.91,1.0,light rain,25
2023-05-10 14:00:00,14.13,0.28,light rain,25
